FID_,scalerank,natscale,labelrank,featurecla,name,namepar,namealt,diffascii,nameascii,adm0cap,capalt,capin,worldcity,megacity,sov0name,sov_a3,adm0name,adm0_a3,adm1name,iso_a2,note,latitude,longitude,changed,namediff,diffnote,pop_max,pop_min,pop_other,rank_max,rank_min,geonameid,meganame,ls_name,ls_match,checkme
,8,10,1,Populated place,Budaun, , ,0,Budaun,0.000000000000000,0.000000000000000, ,0.000000000000000,0,India,IND,India,IND,Uttar Pradesh,IN, ,28.030006122800000,79.089993854699998,0.000000000000000,0, ,161555,161555,3960286,9,9,1275163.000000000000000, ,Budaun,1,0
,8,10,1,Populated place,Firozabad, , ,0,Firozabad,0.000000000000000,0.000000000000000, ,0.000000000000000,0,India,IND,India,IND,Uttar Pradesh,IN, ,27.149982319100001,78.394945840399998,0.000000000000000,0, ,306409,306409,3005536,10,10,1271885.000000000000000, ,Firozabad,1,0
,8,10,1,Populated place,Mathura, , ,0,Mathura,0.000000000000000,0.000000000000000, ,0.000000000000000,0,India,IND,India,IND,Uttar Pradesh,IN, ,27.499986795000002,77.670028848200005,0.000000000000000,0, ,330511,330511,1662203,10,10,1263364.000000000000000, ,Mathura,1,0
,8,10,1,Populated place,Bulandshahr, , ,0,Bulandshahr,0.000000000000000,0.000000000000000, ,0.000000000000000,0,India,IND,India,IND,Uttar Pradesh,IN, ,28.410370502700001,77.848415892500000,0.000000000000000,0, ,198612,198612,3595688,9,9,1275120.000000000000000, ,Bulandshahr,1,0
,8,10,1,Populated place,Hapur, , ,0,Hapur,0.000000000000000,0.000000000000000, ,0.000000000000000,0,India,IND,India,IND,Uttar Pradesh,IN, ,28.743657652800000,77.762788044100006,0.000000000000000,0, ,242920,242920,1591571,10,10,1270393.000000000000000, ,Hapur,1,0
,8,10,1,Populated place,Muzaffarnagar, , ,0,Muzaffarnagar,0.000000000000000,0.000000000000000, ,0.000000000000000,0,India,IND,India,IND,Uttar Pradesh,IN, ,29.485007750499999,77.695040241399994,0.000000000000000,0, ,349706,349706,4670449,10,10,1262332.000000000000000, ,Muzaffarnagar,1,0
,8,10,1,Admin-1 capital,Gangtok, , ,0,Gangtok,0.000000000000000,0.000000000000000, ,0.000000000000000,0,India,IND,India,IND,Sikkim,IN, ,27.333330300899998,88.616647500599996,0.000000000000000,0, ,77900,30700,76472,8,7,1271631.000000000000000, ,Gangtok,1,0
,7,20,2,Admin-1 capital,Gilgit, , ,0,Gilgit,0.000000000000000,0.000000000000000, ,0.000000000000000,0,Pakistan,PAK,Pakistan,PAK,Northern Areas,PK, ,35.917095763200003,74.300001992700004,4.000000000000000,0,Changed feature class.,216760,31633,31155,10,7,1178338.000000000000000, ,Gilgit,1,0
,7,20,1,Populated place,Pathankot, , ,0,Pathankot,0.000000000000000,0.000000000000000, ,0.000000000000000,0,India,IND,India,IND,Himachal Pradesh,IN, ,32.270341612800003,75.720018675600002,0.000000000000000,0, ,253987,174306,1551542,10,9,1260137.000000000000000, ,Pathankot,1,1
,7,20,1,Populated place,Sirsa, , ,0,Sirsa,0.000000000000000,0.000000000000000, ,0.000000000000000,0,India,IND,India,IND,Haryana,IN, ,29.490382099400001,75.029983275299998,0.000000000000000,0, ,181639,160129,586989,9,9,1256052.000000000000000, ,Sirsa,1,0
