FID_,name,latitude,longitude,pop_max
,Panaji,15.491996997399999,73.818000649900000,65586
,Simla,31.100025450699999,77.166597044800000,173503
,Gurgaon,28.450006326299999,77.019991006400005,197340
,Sonipat,28.999998595200001,77.019991006400005,250521
,Rohtak,28.900004698699998,76.580017861800002,317245
,Hisar,29.169988219200000,75.725031289599997,544829
,Bhiwani,28.810010191899998,76.125006875500006,190855
,Ambala,30.320021381600000,76.820003213400000,146787
,Sopore,34.299959329300002,74.466658486800000,63035
,Silvassa,20.266578185000000,73.016617796700004,27359
,Kalyan,19.250231952899998,73.160174925600003,1576614
,Bhusawal,21.019994729600000,75.830037799999999,183001
,Jorhat,26.749980895000000,94.216667438700000,69033
,Hoshiarpur,31.519973977700001,75.980002806499996,158142
,Ajmer,26.449999205499999,74.639981240699996,589985
,Hathras,27.599980691500001,78.050005654800003,126882
,Sitapur,27.630004698699999,80.749995889199994,164435
,Pilibhit,28.639994729600001,79.810001585799995,131008
,Budaun,28.030006122800000,79.089993854699998,161555
,Firozabad,27.149982319100001,78.394945840399998,306409
,Mathura,27.499986795000002,77.670028848200005,330511
,Bulandshahr,28.410370502700001,77.848415892500000,198612
,Hapur,28.743657652800000,77.762788044100006,242920
,Muzaffarnagar,29.485007750499999,77.695040241399994,349706
,Gangtok,27.333330300899998,88.616647500599996,77900
,Gilgit,35.917095763200003,74.300001992700004,216760
,Pathankot,32.270341612800003,75.720018675600002,253987
,Sirsa,29.490382099400001,75.029983275299998,181639
,Panipat,29.400413430800000,76.969968219899997,292808
,Karnal,29.680448017400000,76.969968219899997,225049
,Baramula,34.200430520700003,74.350024779199998,167986
,Proddatur,14.750429096400000,78.570025592999997,197451
,Nandyal,15.520382099400001,78.479953571500005,188654
,Hindupur,13.780359109400001,77.489988158100005,168312
,Tirupati,13.650418720399999,79.419999551299995,287035
,Ongole,15.560379658000000,80.050038613799998,202860
,Vizianagaram,18.120404275500000,83.500008910099993,179358
,Rajahmundry,17.030341612699999,81.789984089100003,304804
,Machilipatnam,16.200418110099999,81.179995482300001,192827
,Khammam,17.280429706800000,80.160057738199995,290839
,Chirala,15.860413023800000,80.339995075399997,253000
,Karimnagar,18.460435199999999,79.109992633999994,288251
,Nizamabad,18.670396544399999,78.100028441299997,388505
,Kollam,8.900372740610001,76.569992634000002,394163
,Alappuzha,9.500413634170000,76.370004840999997,176783
,Puri,19.820429706799999,85.900017454999997,201026
,Sambalpur,21.470406513400000,83.970057738199998,310852
,Raurkela,22.230411803199999,84.829953571499999,625831
,Kavaratti,10.562573313300000,72.636867166700000,10688
,Mandya,12.570381285500000,76.919997109899995,285034
,Kolar,13.133706073999999,78.133359740100005,144625
,Shimoga,13.930375792400000,75.560028441300005,654055
,Raichur,16.210365823299998,77.355009316899995,255240
,Hospet,15.280396747799999,76.375017454900004,286007
,Bidar,17.922922789499999,77.517531696500001,300136
,Sangli,16.860403665100002,74.575023965400007,601214
,Parbhani,19.270385761499998,76.760006875499997,378326
,Malegaon,20.560358702599999,74.525001178899998,690844
,Port Blair,11.667025572700000,92.735982624299993,127562
,Tezpur,26.633760598799999,92.800009723900004,58851
,Silchar,24.790410582500002,92.790036172499995,152393
,Kohima,25.666997903399999,94.116570189399994,92113
,Shillong,25.570492166099999,91.880014199800002,375527
,Abohar,30.120421161900001,74.290028441299995,130603
,Patiala,30.320408954900000,76.384991006400000,329224
,Bhilwara,25.350428079200000,74.635020303199994,389911
,Pali,25.790375385499999,73.329932005700002,210103
,Tonk,26.150456765700000,75.790040241400007,181734
,Sikar,27.610393492600000,75.140002399599993,400000
,Bikaner,28.030393696099999,73.329932005700002,576015
,Bharatpur,27.250363788900000,77.500013385900004,229384
,Alwar,27.545358702600002,76.604925902199994,283228
,Fatehpur,25.880369892400001,80.800018675700002,166480
,Faizabad,26.750394306400000,82.170012572199994,153047
,Bahraich,27.620418720499998,81.669939736900005,182218
,Mirzapur,25.145375995900000,82.569988158100003,245817
,Jhansi,25.452954120899999,78.557468219900002,826494
,Shahjahanpur,27.880377013099999,79.905034544800003,320434
,Rampur,28.815358702600001,79.024984902900002,296418
,Bareilly,28.345387389100001,79.419999551299995,817000
,Etawah,26.785456765700001,79.014959675000000,257448
,Dehra Dun,30.320408954900000,78.050005654800003,714223
,Haora,22.580390440900000,88.329946654200000,4841638
,Alipur Duar,26.483743915800002,89.566667031799994,127342
,Haldia,22.025669778400001,88.058335326100007,200762
,Bhatpara,22.850425637800001,88.520012572200002,483129
,Medinipur,22.330405699600000,87.150018675699997,169127
,Siliguri,26.720421975699999,88.455003620400007,515574
,Purnia,25.785414448000001,87.479972695900003,198453
,Muzaffarpur,26.120432758600000,85.379945840399998,333200
,Aurangabad,24.770411803199998,84.380006875600003,95929
,Bilaspur,22.090420348100000,82.159987344300006,543454
,Burhanpur,21.300391051199998,76.130019489399999,197233
,Ujjain,23.190404885900001,75.790040241400007,513350
,Ratlam,23.350395120200002,75.029983275299998,307229
,Sagar,23.850390440900000,78.750014606600004,328240
,Vellore,12.920385761500000,79.150041869000006,177081
,Tiruvannamalai,12.260374368200001,79.099967406100006,138243
,Rajapalaiyam,9.420392678770000,77.580008503100004,369991
,Cuddalore,11.720407327200000,79.770004027200002,158569
,Karur,10.950376809600000,78.083336953699998,76915
,Kanchipuram,12.833724384500000,79.716673949099999,155029
,Tirunelveli,8.730408954800000,77.689975950999994,542200
,Nagercoil,8.180365009490000,77.429991820200001,224329
,Thanjavur,10.770413634200001,79.150041869000006,219571
,Kumbakonam,10.980478331400001,79.400000771999999,139264
,Valparai,10.320415261799999,76.969968219899997,114308
,Tiruppur,11.080420551500000,77.329997923700006,650000
,Daman,20.417008279400001,72.850012978999999,39737
,Navsari,20.850392678799999,72.920034544800004,163000
,Bhuj,23.250375385500000,69.809991820199997,289429
,Bhavnagar,21.778423888100001,72.129953571499996,554978
,Gandhinagar,23.300398172000001,72.639948281800002,195891
,Itanagar,27.100398782399999,93.616600707000003,44971
,Aizawl,23.710398985800001,92.720014606700005,283021
,Agartala,23.835404275500000,91.279999144499996,203264
,Kakinada,16.967477232800000,82.237501992700004,292923
,Warangal,18.009997577899998,79.579989785699993,1203853
,Brahmapur,19.319995136500001,84.799981240799994,324726
,Bijapur,16.835418110100001,75.709993447800002,271064
,Bhiwandi,19.350019143600001,73.129995889200003,795000
,Latur,18.400413023900001,76.569992634000002,374394
,Ahmednagar,19.110421365299999,74.750000365099993,391760
,Chandrapur,19.969981301899999,79.300006875500003,595118
,Amravati,20.949973163799999,77.770022744700000,734451
,Dhule,20.899976215599999,74.769999144400003,479073
,Dibrugarh,27.483321145600002,94.899984902900002,166366
,Imphal,24.799970722400001,93.950017048099994,264986
,Udaipur,24.599982929500001,73.730010944499995,469737
,Gorakhpur,26.750394306400000,83.380016234300001,674246
,Barddhaman,23.250375385500000,87.864962116399994,301725
,Krishnanagar,23.380341612700001,88.530037800000002,145926
,Gaya,24.799970722400001,85.000020710200005,423692
,Porbandar,21.669980894999998,69.670000365099995,234684
,Nellore,14.439982929399999,79.989938923099999,678004
,Kurnool,15.830001443400000,78.030006875500007,424920
,Guntur,16.329996764099999,80.450014199799995,530577
,Tumkur,13.329973163800000,77.100037799999996,399606
,Davangere,14.470006936600001,75.920006468599993,503564
,Bellary,15.150042947299999,76.915036172399994,445388
,Belgaum,15.865012226299999,74.505002399600002,608756
,Tuticorin,8.819990050180000,78.130000772000002,436094
,Dindigul,10.379972349999999,78.000034544800002,200797
,Chandigarh,30.719996967600000,76.780005654799993,979000
,Jammu,32.711787535600003,74.846738646299997,791000
,Sholapur,17.670405903100001,75.900007689299997,1057000
,Aurangabad,19.895696430400001,75.320301471899995,1113000
,Nasik,20.000418720500001,73.779982054499996,1473000
,Dispur,26.144023049899999,91.766636107400004,16140
,Jullundur,31.334920673599999,75.569020140500001,855000
,Allahabad,25.454995340000000,81.840006875499995,1201000
,Moradabad,28.841791197700001,78.756784219300002,787000
