0.00012441,2.688e-200,1.7874e-95,0
5.4201e-05,8.5713e-238,3.4574e-118,0
1.7824e-19,2.0596e-24,0.00020542,5.4786e-15
1.7824e-19,2.0596e-24,0.00020542,5.4786e-15
1.1891e-26,2.6563e-61,5.8048e-05,0.00017547
8.2215e-30,2.3691e-73,3.453e-05,9.9326e-05
1.4085e-18,1.0687e-26,0.00012784,5.4215e-14
2.204e-26,0.00024642,1.5056e-07,1.6984e-63
6.8804e-24,1.166e-51,5.5164e-05,5.8218e-05
7.6661e-27,0.00017343,2.3398e-08,1.2882e-73
1.5157e-26,0.00019245,1.2519e-07,1.0992e-62
4.2447e-25,8.3402e-53,4.0155e-05,8.5285e-05
2.0611e-28,3.5804e-70,1.5437e-05,2.8848e-06
1.5503e-19,4.1143e-24,0.00019869,8.7958e-14
1.2067e-20,5.4463e-37,0.00028553,8.9482e-08
0.00013033,1.0365e-212,4.768e-102,0
2.1624e-20,1.1381e-35,0.00022868,1.0682e-07
4.0077e-22,2.3141e-42,0.00012042,3.9895e-07
1.1881e-25,1.4538e-49,8.0428e-07,2.0625e-05
0.00018931,7.309e-205,7.6865e-99,0
0.00012115,1.3615e-225,3.2634e-106,0
4.6882e-34,1.9438e-77,2.0746e-06,0.00022515
0.00016422,9.2102e-172,6.2898e-87,0
0.00019399,1.1914e-169,7.6892e-91,0
0.00027999,4.3142e-149,2.1319e-78,0
2.2464e-28,6.1606e-05,4.4486e-09,1.4934e-80
2.7447e-72,1.2276e-125,4.0488e-20,1.2254e-09
1.169e-16,1.7514e-07,2.7097e-08,9.4884e-71
5.1419e-29,0.00017857,2.4478e-08,4.4637e-71
0.00014034,1.3573e-169,1.9499e-82,0
1.6121e-19,5.402e-19,6.0055e-06,2.5326e-32
1.9224e-27,0.00011659,1.717e-07,3.7366e-60
4.5142e-21,2.4202e-06,9.6789e-08,7.6381e-71
1.81e-18,9.3749e-25,0.00017262,4.7757e-15
2.0645e-19,1.8934e-05,1.6371e-08,1.0587e-77
8.7537e-21,1.8785e-36,0.00027256,7.8079e-09
1.1284e-20,2.2006e-35,0.00027885,3.0822e-09
1.4468e-29,4.0304e-63,4.3161e-06,0.00010404
0.00012327,5.1625e-175,1.8192e-94,0
1.3033e-21,1.4039e-28,7.9493e-05,2.4913e-14
1.1206e-25,1.2594e-55,6.1005e-05,8.6046e-05
7.3319e-28,0.00014408,1.9806e-08,8.6399e-76
6.2229e-31,3.7297e-05,1.6239e-09,1.9864e-83
2.7044e-25,1.3707e-32,5.6308e-07,2.6858e-12
4.7968e-24,0.0001566,6.7635e-07,1.8073e-56
1.8705e-26,0.00018697,7.6418e-08,2.9225e-69
1.4911e-05,7.0284e-88,1.158e-56,8.2215e-278
1.733e-17,3.3818e-07,3.2926e-09,1.1612e-82
1.9224e-27,0.00011659,1.717e-07,3.7366e-60
1.2162e-26,0.00018353,3.0571e-08,2.0379e-74
0.00018354,6.1339e-181,1.952e-92,0
1.4941e-16,2.5761e-16,7.6881e-05,1.292e-21
1.5334e-33,5.8912e-82,9.4205e-06,0.00010231
4.8796e-28,0.00015126,1.4902e-08,5.5269e-75
4.5967e-19,5.1499e-31,0.00021797,1.4718e-08
0.00010372,4.1097e-223,4.2591e-105,0
5.4965e-28,0.00013156,2.992e-08,5.6862e-69
0.00012528,1.2749e-225,1.5219e-107,0
0.0001354,1.1906e-212,9.704e-101,0
7.7063e-27,6.1253e-60,2.5164e-05,0.00014936
1.6962e-18,1.0454e-25,0.00015207,1.6478e-14
1.4077e-26,0.00026446,6.55e-08,2.1196e-68
1.1032e-18,2.0708e-12,8.0535e-05,3.7987e-24
3.4406e-20,2.2871e-28,0.00018477,4.005e-14
8.8415e-30,1.5427e-17,1.2907e-08,1.1163e-45
0.00023396,5.6945e-183,1.0827e-90,0
0.00028371,2.8043e-149,1.582e-79,0
2.3756e-24,0.0002767,1.4532e-07,8.3206e-66
1.5047e-27,8.8479e-05,9.811e-08,1.0381e-65
7.0711e-39,1.0637e-95,1.3425e-06,2.9573e-05
