Class	PixelSum	Percentage %	Area [metre^2]
1.0	31983	5.05264654539	28733049.6755
2.0	299736	47.3520327965	269278347.17
3.0	26022	4.11093294576	23377776.2766
4.0	115369	18.2258943594	103645787.075
5.0	159885	25.258493353	143638296.825
