Class	PixelSum	Percentage %	Area [metre^2]
1.0	20206	3.19212632011	18152768.7128
2.0	265153	41.8886405106	238209496.314
3.0	24953	3.94205325477	22417402.6374
4.0	148024	23.3847028807	132982551.517
5.0	174659	27.5924770338	156911037.841
